File,Reference Count,References,Circular,Recommendation
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/AGENTS.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/CHANGELOG.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/CONTRIBUTING.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/DEVELOPMENT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/ISSUES_REPORT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/README.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/SECURITY.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/SUPPORT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/bin/README.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/AGENT_CREATION.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/API_REFERENCE.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/ARCHITECTURE.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/BUILD_PROCESS.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/CONFIGS.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/DEPRECATION.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/FILE_ORGANIZATION.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/FOLDER_STRUCTURE.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/GENERATE_THEME.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/GOVERNANCE-START-HERE.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/GOVERNANCE.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/HUSKY_PRECOMMIT.md",0,"",NO,OK
